Region	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WML_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion
FUT6	1	1	1	0	1	1	6	6	1	5	4	0	2	0	0	4	1	5	4	2	2	2	3	2	0	5	1	5	2	6	5	4	6	4	2	3	4	4	4	6	8	11	4	5	20	23	12	8	15	9	8	25	16	23	4	8	5	9	2	2	0	4	2	4	4	2	3	3	3	7	3	8	10	7	8	7	8	4	9	15	10	16	1	6	1	1	9	8	13	8	6
G6PC	2	1	0	0	1	1	1	0	2	4	3	1	3	2	2	2	2	0	1	0	1	1	0	3	4	6	1	3	2	8	3	3	3	2	3	4	2	2	4	7	5	6	5	2	13	19	17	13	7	9	15	34	14	8	7	5	4	6	2	9	0	0	2	3	3	2	3	1	3	3	9	5	7	5	5	4	4	6	3	15	7	10	1	2	7	3	5	12	9	5	4
GJA1	1	1	0	0	0	1	3	1	3	2	0	0	3	0	1	0	4	4	1	3	0	4	1	0	3	6	3	3	11	7	2	1	3	5	1	2	2	6	4	4	9	10	6	5	10	12	17	9	11	8	9	35	18	13	3	7	3	10	0	3	4	3	1	2	4	5	1	1	5	10	11	5	6	8	9	6	11	7	13	15	18	20	4	2	5	4	11	22	24	18	21
GLDC	1	1	0	0	1	2	3	2	1	0	0	0	0	2	1	1	1	1	0	2	0	2	1	6	1	2	0	2	3	7	5	1	3	3	1	2	2	3	2	3	4	2	1	2	11	8	13	14	4	7	6	11	11	7	2	6	2	4	2	1	1	1	1	4	2	2	2	3	3	0	7	6	7	6	4	4	2	1	8	4	6	5	3	3	4	3	2	4	8	4	4
GPI	1	0	0	0	2	1	2	1	3	3	6	1	1	1	0	3	4	3	3	3	2	2	1	1	0	5	0	3	5	6	4	3	3	4	1	4	3	4	3	4	5	5	2	3	11	16	25	20	10	7	16	19	12	17	9	4	14	10	0	2	2	1	1	4	4	4	1	4	3	4	5	9	9	3	8	3	7	6	18	6	11	18	4	6	2	7	20	18	11	11	14
GSN	2	1	5	6	3	3	4	4	3	9	7	4	3	2	2	6	4	4	6	5	3	2	1	1	0	4	0	3	6	1	6	3	13	5	1	4	4	6	5	9	8	7	5	14	22	12	15	26	26	9	14	28	15	27	15	6	15	9	3	2	1	2	2	2	4	3	1	3	1	7	3	5	17	8	1	4	5	6	13	11	12	5	3	6	2	6	6	15	8	11	14
GSS	0	0	0	1	0	0	1	1	0	3	0	2	1	1	2	2	2	1	4	0	2	0	0	1	0	1	1	2	0	4	4	1	0	3	3	3	2	0	9	1	7	3	3	4	15	11	13	7	6	6	11	10	17	12	4	4	3	5	0	2	0	4	3	2	2	1	1	65	2	3	2	3	2	6	0	3	4	1	7	11	5	9	2	2	1	2	7	8	5	7	3
HMGCL	2	1	5	3	0	1	2	3	2	2	1	2	0	0	1	2	0	2	1	3	1	1	0	3	2	3	1	0	3	7	10	4	3	2	1	6	7	1	5	6	5	4	2	2	16	18	16	16	24	3	7	16	14	25	8	5	9	10	4	2	2	2	2	1	1	3	1	4	5	6	5	3	7	5	9	2	3	4	3	14	18	7	1	1	10	3	7	8	6	2	5
SHH	2	0	0	3	2	4	7	0	5	2	3	1	2	6	0	4	3	3	3	3	1	3	2	3	2	5	3	6	5	10	5	1	3	4	1	8	3	2	7	10	16	10	3	6	13	14	21	6	4	9	20	29	17	19	14	3	7	7	2	3	2	4	4	1	5	2	1	4	3	5	7	7	11	11	6	2	4	6	11	7	8	21	6	1	3	5	6	13	8	4	5
HSD11B2	3	0	1	0	0	4	4	0	3	2	0	7	2	0	1	1	0	2	2	4	0	0	1	3	1	4	1	6	4	6	7	3	4	2	0	1	5	2	5	1	2	4	1	5	12	9	13	8	6	8	7	12	9	16	5	5	5	5	0	1	0	1	2	0	5	1	0	1	3	6	2	6	2	11	3	2	5	3	10	11	13	4	4	1	3	4	5	8	6	5	2
