"logFC","logCPM","LR","PValue","FDR","gene","Category"
0.767851975107741,11.5960493228349,11.7147730041048,0.000620058743332118,0.00292313407570856,"DPYSL2","Common DEGs"
-0.654673494361711,11.9404916562639,11.4905962250754,0.000699491945416278,0.00316828704688549,"RPS26","Common DEGs"
-0.715924632819204,11.9250105100025,11.2917997605241,0.000778501769717391,0.00345834440009072,"MFSD6L","Common DEGs"
0.543723035759877,12.2674683959169,10.9660189564628,0.000927979056797691,0.00404458796453333,"PTMA","Common DEGs"
-0.725282899418358,11.6617205446408,10.5848528287189,0.00114017972785961,0.00478875485701037,"S100A6","Common DEGs"
0.570530330424484,11.8966978054666,10.4126373840169,0.0012515587254638,0.00516267974253817,"PITX1","Common DEGs"
-0.622813289840259,12.293231981163,9.91410944289782,0.0016401648180351,0.0066469837362475,"VIM","Common DEGs"
0.67877788370234,13.1990894624838,9.20065034921032,0.0024192916054129,0.00947214170932849,"IGHG3","Common DEGs"
-0.65025265456504,11.7050861644992,9.06816375258146,0.00260098125387685,0.00998449003389486,"DNAH3","Common DEGs"
-0.568074779737119,12.2154843787611,8.89062716803176,0.00286638256855632,0.0105100694180398,"NPC2","Common DEGs"
0.50241816362942,12.1194832121874,8.61827031627845,0.00332807726419694,0.0120122788754608,"RPS8","Common DEGs"
0.507966558937619,12.1444278553582,8.43639626251559,0.00367784375275401,0.0130704908751719,"ITM2B","Common DEGs"
0.585611399572869,11.6031431437876,8.37233871780393,0.00380975031250911,0.0133341260937819,"GPM6B","Common DEGs"
-0.600120747101018,11.7627011161413,8.16640029743384,0.00426735148659805,0.0147128088567783,"KIAA0825","Common DEGs"
-0.542140883900912,12.2422981845001,8.0827487065384,0.00446886116419682,0.0151809842489627,"TSNAX","Common DEGs"
-0.565366408305512,12.1291096624697,7.51688410953386,0.00611233179852605,0.0200234785508088,"CST3","Common DEGs"
-0.630461413582926,12.0817446402663,7.50461438386564,0.0061541115362465,0.0200234785508088,"ITM2C","Common DEGs"
-0.548162122563099,11.9626052783175,7.38337689144009,0.00658294512941086,0.0208309633547111,"BARX2","Common DEGs"
0.470376921991796,12.0055287419125,7.26563456641193,0.00702864309020102,0.0219407642410329,"DDX17","Common DEGs"
-0.513480279179619,12.8608586835774,7.13603139012483,0.00755501755713247,0.023269454075968,"APOE","Common DEGs"
-0.698685997115207,11.6333955430888,6.99718492077785,0.00816379992989738,0.0245710955084798,"PCSK1N","Common DEGs"
-0.59884010860796,11.8796993017231,6.99136974409009,0.00819036516949327,0.0245710955084798,"SIRT6","Common DEGs"
0.462195448865279,11.8839705967523,6.91821545498351,0.00853220795389011,0.024948608067704,"RPL38","Common DEGs"
-0.718358360386845,11.5121547071118,6.48137204711365,0.0109010804301607,0.0307091412117942,"SNAP25","Common DEGs"
-0.52216027327646,11.9184495029859,6.40596436137682,0.0113737633268157,0.0316546907047522,"CUL4B","Common DEGs"
0.49001793964592,11.6820869184153,6.36464437423723,0.0116416424859262,0.0320145168362969,"PTGES3","Common DEGs"
-0.534618319596405,13.8103942593034,6.25306249082011,0.0123978776059509,0.033628829915744,"CLU","Common DEGs"
-0.466661047373544,12.474155342282,6.00625897311691,0.0142552188603857,0.0374199495085125,"EIF4A2","Common DEGs"
-0.435183112360306,12.075871891836,5.68226151163906,0.0171372648654479,0.0433708258152959,"RPS19","Common DEGs"
-0.463836609975802,11.8653002111236,5.45945185233899,0.0194627513826688,0.0473252165199632,"HLA-DRB1","Common DEGs"
-0.972316956043465,11.9315804926507,26.2178671333587,3.04987587538549e-07,3.20236966915477e-06,"HMGN2","Unique NAWM vs WM_line_Lesion_1"
1.10170139077168,12.7171551871685,24.7278601421098,6.60228619095843e-07,6.63099178309303e-06,"IGKC","Unique NAWM vs WM_line_Lesion_1"
-0.61334490459803,12.6979511140931,11.5238948514246,0.000687072846793991,0.00316828704688549,"RPL7","Unique NAWM vs WM_line_Lesion_1"
-0.647988210899369,11.937042249842,10.8101958216574,0.00100942624953021,0.00431810117854591,"ANKRD36B","Unique NAWM vs WM_line_Lesion_1"
0.642734534285186,11.4947665843315,9.2362277689884,0.00237273252624283,0.00945002092348437,"UBE2Z","Unique NAWM vs WM_line_Lesion_1"
-0.604327958606305,11.8495693309092,9.0279311312885,0.00265885233984862,0.00998449003389486,"LAYN","Unique NAWM vs WM_line_Lesion_1"
-0.580600221137074,11.971997417962,9.01357332248926,0.00267981983593715,0.00998449003389486,"RNPEP","Unique NAWM vs WM_line_Lesion_1"
-0.517487170341594,11.9025314781129,7.50452923354069,0.00615440249830054,0.0200234785508088,"RPS10","Unique NAWM vs WM_line_Lesion_1"
