"Gene","logFC","logCPM","F","PValue","FDR"
"EHD1",0.97027577325135,11.6700220619808,17.660045497273,5.65257618457012e-05,0.0001624221258098
"RPL38",-0.867332762433942,11.8948192978523,17.5057405416152,6.05765445261645e-05,0.000171885945092992
"DNAJB1",-0.596845733381909,12.8499534348377,17.2990449726988,6.64733189988787e-05,0.00018628942484871
"RPL26",-0.741898640286677,12.0314086828623,18.0097132361234,7.00157317562693e-05,0.000193824037910648
"ARF1",0.879129553016728,11.6925101925774,17.1369188648547,7.15080872090775e-05,0.00019557031080073
"ANKRD36B",0.912737563019108,11.9479667572823,17.0052311734268,7.58842554979728e-05,0.000205068166643331
"RPL21",0.734982044997071,12.5914649640701,16.7891023534119,8.36702636090297e-05,0.000223448821638232
"DDX17",-0.713161186338489,12.0172704005231,15.9539936133215,0.000122305954198736,0.000322830832594337
"RPL31",-0.743004039916107,11.8827683105676,15.5163700729176,0.000149443799144543,0.000389928073630015
"STMN1",-0.945101423804468,11.6344793301118,15.4261060313105,0.000155769987793601,0.000401815763967585
"CRABP2",0.810645870043681,12.0742006696067,15.3102028667258,0.000164297922162774,0.000419052003718536
"RPL6",-0.640317656004882,12.1289382217087,17.5559256515542,0.000189714232190255,0.000478501452302088
"PIP4K2A",-0.972082025470467,11.3032560397359,14.9554958839381,0.000193495666240024,0.000482676002598741
"B2M",-0.920292001924077,11.7413313849845,14.497702082054,0.000239222342659529,0.000590255128083837
"GPNMB",-0.988233409933226,12.1177298382885,14.0742964012887,0.00029138591639056,0.000711232290544701
"RPL18",-0.695813897947214,12.0840467930858,13.98696933891,0.000303523880750392,0.000732977882237649
"RPL22",-0.73361627690557,11.6964401995443,14.792214137816,0.000331714575416983,0.000792623248627948
"KRTAP5-8",0.863406958689006,11.7437207768172,13.4623219932267,0.00038822727872628,0.000908710039279707
"CD81",-0.688945743295414,12.1971804242257,13.4619054198573,0.000388303408855205,0.000908710039279707
"UBE2Z",-1.01022597051232,11.5041869579313,13.436516551602,0.00039297237063264,0.000910252327893973
"RBM42",0.674774167921842,12.0380090613806,13.3412250345286,0.000411016819529128,0.000942432505384971
"SLC1A3",-1.00362566374164,11.8391147457196,13.0693733247813,0.000467320032665371,0.00106081647415039
"SNAP25",1.12449088546432,11.5229056266288,12.9398924529094,0.000496865737636062,0.00111671804399392
"RPL13",-0.610112341496037,12.3771085821137,12.8794895070529,0.000511298913978195,0.00112653066787983
"RPL34",-0.632080319433726,12.2376202909111,12.8656470489223,0.000514666801791705,0.00112653066787983
