"Gene","logFC","logCPM","F","PValue","FDR"
"RPL31",-0.455689498030978,11.8827683105676,8.34616258637952,0.00470196053299852,0.0154687687100096
"UBE2Z",-0.649548534201275,11.5041869579313,8.22727122764219,0.0049561400561529,0.0160720541820958
"RPL37A",-0.396055594014118,12.3151636213266,8.04205168876445,0.00549225821141987,0.0175597551266523
"RPL5",0.48702854547123,11.8181674848875,7.9165263868834,0.00586435583412543,0.0184890107548121
"EPHA5",0.614852968272739,11.6545394988662,7.78073484884431,0.00627309889162336,0.0195067595671028
"KIAA0825",0.546169116619094,11.7725057559096,7.65963204144507,0.00668467897527012,0.0204212439287053
"IGHG1",-1.23709404247751,13.1606880136736,7.64196552594001,0.00674710702490264,0.0204212439287053
"CUL4B",0.499060332037518,11.9283474198032,7.59519951319471,0.00691432381119834,0.0206519934887108
"RPL38",-0.487871454621872,11.8948192978523,7.52503751291309,0.00716421747179282,0.0211204852739866
"SNAP25",0.714858600478718,11.5229056266288,7.06479885589208,0.00898023764649256,0.0259426302720454
"IGHG2",-1.08314659865718,13.1402124926344,7.0799606629395,0.00902849247353121,0.0259426302720454
"RPL30",-0.40512754713225,11.9103633751733,6.91197943907683,0.00985893745365012,0.0279747350247322
"FKBP4",-0.461147312703876,12.0977417720029,6.85214629831052,0.0101794970763312,0.0285277263744096
"SLC35D2",0.524013649985035,11.7604454783758,6.79834850357295,0.0104676007164786,0.0288780107703463
"KPNA3",0.456055646287988,12.3064896200165,6.78365926078327,0.0105589202376156,0.0288780107703463
"RPLP2",-0.408079001639621,11.9635686498379,6.75535798800202,0.01070300230279,0.0289235895563491
"SLC1A3",-0.5578479504606,11.8391147457196,6.50859440076316,0.0121314508470863,0.0323981099092776
"EIF4A2",0.441517120363761,12.4860575070461,6.49026150475948,0.012322155239186,0.032524758596456
"SRRM2",-0.392152265900996,11.8093221191485,6.39271830176194,0.012952701223678,0.0337961284801712
"IGHG4",-1.18036530979206,14.1926274017224,6.28969242041279,0.0136925362741069,0.0353205197070711
"ITM2C",0.573456840438966,12.0933420599778,6.04869166594285,0.0155314262674678,0.0395459098578954
"BARX2",0.500128957371167,11.9729264818595,6.03608080696937,0.015678995097844,0.0395459098578954
"CAMKMT",0.480205789455085,11.7134134681344,5.99620970710828,0.0160060869769385,0.0395831496202375
"RPS12",-0.441972552477729,11.674794992033,5.96970828161704,0.01621423166665,0.0395831496202375
"PXN",0.433292333186463,12.1566113936045,5.97377651962785,0.0162168850867052,0.0395831496202375
"DNAJA1",-0.421474903843701,11.9552214026968,5.94345860784241,0.0164457194210716,0.0397146628572688
"PCSK1N",0.671692360545329,11.6437581584056,5.89130290301613,0.0168201840661053,0.0401913871895359
"SIRT6",0.534972151303303,11.8896415594897,5.84275797712264,0.0173610058607353,0.0410515451081969
"RPS2",0.409917262104832,12.0569331018765,5.65116426404956,0.0192635074584543,0.0450805793099911
"RPL34",-0.368429088790592,12.2376202909111,5.47534030548683,0.0212090991136356,0.0491271989672988
