"Gene","logFC","logCPM","F","PValue","FDR"
"NFKB2",0.779532704972929,12.4431810315687,28.6736694993184,5.26903486837531e-07,5.98035457560597e-06
"PRNP",-1.09627657712806,11.762307907428,28.1092698921313,6.61961897075798e-07,7.12285036969618e-06
"LYRM2",0.91694399087511,12.3151280905304,28.0058188164903,6.90320300146766e-07,7.12285036969618e-06
"ITM2C",-1.08509653636442,12.0933420599778,27.7732281684096,7.5869968234706e-07,7.48803599533838e-06
"CLU",-1.10620585369542,13.8249308093533,27.3536317386977,9.00080379986882e-07,8.51326026070926e-06
"PCSK1N",-1.12500967342853,11.6437581584056,26.8569421901287,1.10276696379371e-06,1.00131240312469e-05
"PEA15",-1.1225665921352,11.8756000568417,26.2046748707051,1.44180900159076e-06,1.25881016677347e-05
"PMFBP1",0.89199278546862,11.6500285744057,25.2315959947979,2.15709717714706e-06,1.81355947856438e-05
"TUBA1C",-0.912723644987724,12.6964317972593,24.24528263494,3.25691215653981e-06,2.64042521262335e-05
"DHRS1",-0.645002710557031,14.2290211898494,23.9291481160177,3.71968107186131e-06,2.91161242521558e-05
"DNAH3",0.832303781543456,11.7142819547077,23.2426434934715,4.97043349589432e-06,3.7609613452267e-05
"TMSB10",-0.892145062627709,12.0435170839814,22.6137588104814,6.49287952773561e-06,4.75446339611607e-05
"RTN3",-0.867163803048965,11.6821785324073,22.2660413459912,7.53181318867387e-06,5.34287998071553e-05
"ATP5F1A",0.694051704770844,12.1631339982077,21.29086197466,1.14511686405191e-05,7.87701600423585e-05
"CAMKMT",0.817609886030167,11.7134134681344,20.7139320748876,1.47000578297934e-05,9.81445037459738e-05
"DDX4",1.0218113725455,12.5809344057242,20.6247878046863,1.52804036242538e-05,9.9104332077303e-05
"UBB",-0.834687617434679,11.8217029472249,20.4705596356023,1.63404217098845e-05,0.000103035436892883
"ATP1B1",-0.824417557929465,12.3515908548789,20.1995357301434,1.8389083881953e-05,0.000112819514627117
"ZBTB7A",-0.86406588254039,11.6430992521289,19.9537222159295,2.04742104866263e-05,0.000122306467906952
"C4orf46",0.859578941305708,11.7479709867431,19.7268330766151,2.26134463454249e-05,0.000131621854369525
"MFSD6L",0.694760448350428,11.9353455633674,19.4167803741544,2.59124504376894e-05,0.000147053156233887
"CALM2",-0.87902390949437,11.7910891578226,18.7570744505178,3.46720193321772e-05,0.000191964594839127
"HSP90AB1",-0.657658588752205,12.6654536117967,18.4200237057276,4.02654367714217e-05,0.000217625098740779
"PTBP1",-0.645438403518068,14.7464946855473,18.1351896713287,4.57092557516963e-05,0.000241302350131048
"SCYL3",0.590885602474961,12.2010590485659,18.0617734894016,4.72308842189552e-05,0.000243668425402337
"PRMT8",0.698086936819363,12.5738945996908,17.5319374164677,5.98684316299891e-05,0.000302002977333501
"DPYSL2",-0.817316770337054,11.6079028586882,17.1402793339303,7.1399860570831e-05,0.000352342790208231
"KRTAP5-8",0.887426316928472,11.7437207768172,16.715351220463,8.65106513914243e-05,0.000417828039699007
"TMSB4X",-0.786712100326572,12.9515157439554,16.6107192475868,9.07108594448248e-05,0.000428986772791151
"LAYN",0.655421193025947,11.8600554644961,16.5588346959371,9.28705864684203e-05,0.000430237206700641
"KIAA0825",0.726357828178333,11.7725057559096,16.0958440443541,0.00011463882419441,0.000520460261842621
"NPIPA1",-0.718681168276836,12.0150050467934,15.9267502320467,0.000123837645084461,0.000551198930081815
"MTCH1",-0.790329081819896,11.6347998087862,15.7222734835865,0.00013597998129067,0.000593604918326578
"FCF1",0.700433145982786,13.2356717265631,14.9120738438994,0.000197418649892237,0.00084554780236864
"ITM2B",-0.712971437486504,12.1554595439577,14.0693385122563,0.000292061505962471,0.00122774003432372
"PXN",0.582764612854352,12.1566113936045,13.251561708164,0.000428772890838182,0.00176966265855031
"EPHA5",0.685144542527298,11.6545394988662,12.7007914652904,0.000556574391126581,0.0022264110459721
"HNRNPA1",0.562741766942575,12.1094120128673,12.6914379689708,0.000559054756037046,0.0022264110459721
"PLOD1",0.689675534748004,12.0054387147712,12.4481508567995,0.000627722846892872,0.00243141589005741
"MAZ",-0.673261615103887,13.6192053577951,12.4340679018284,0.000631953909750603,0.00243141589005741
"CTSB",-0.87444084244452,12.3365129517842,12.2853240537172,0.00067847435176595,0.00256689463084784
