"Gene","logFC","logCPM","F","PValue","FDR"
"RPS27A",-0.790708955861214,11.8556488395927,21.179490393931,1.20154651181419e-05,3.20883597860965e-05
"HSPB1",0.683946712481637,12.3296827178899,20.9058498820464,1.35259351019589e-05,3.5702177536566e-05
"RPS3A",-0.527319697609438,12.6173215660259,19.1323445575568,2.93717980820702e-05,7.66367605129879e-05
"TSNAX",0.71416862500065,12.2534419312057,18.9095614206832,3.24092413914045e-05,8.36011113164638e-05
"RPL17",-0.583218689196492,12.5838135647145,18.3752838513895,4.10744426221499e-05,0.000104762904216045
"TMEM106C",0.723381330057665,11.9493472649478,18.220717327041,4.39997388510868e-05,0.000110977119102186
"HLA-DRA",-1.00081501378126,11.4360880230644,17.7182095324693,5.507180700544e-05,0.000137376925167416
"NFYA",0.71956910889962,11.985656575849,16.5502889079294,9.32313326553578e-05,0.000230038179486589
"RPL31",-0.608769468523231,11.8827683105676,16.48150648088,9.61876690997952e-05,0.000234780654684446
"MAT2A",-0.706401710857433,11.6715042713671,16.4500254754514,9.75726351013304e-05,0.000235627533702149
"DNAJA1",-0.635743809499183,11.9552214026968,16.3594334218957,0.000101673262093864,0.000242945584161128
"ANKRD36B",0.768711761811242,11.9479667572823,16.3070105069067,0.000104126436307495,0.000246215635852097
"DDX17",-0.57608343544415,12.0172704005231,16.2380783229786,0.000107444805231151,0.000251442997808982
"ZBTB7A",0.652838447985481,11.6430992521289,16.1108005166134,0.000113859661238038,0.00026373615409219
"RPS20",-0.546368792037403,12.2482986780002,15.4781244101969,0.000152091461872582,0.000348734968132083
"RPL15",0.619505967179258,11.8456408509236,15.433972999504,0.000155207865523774,0.000352321854738966
"RPS23",-0.619970765067999,11.8903979674753,15.1289200394957,0.000178608186334112,0.000401426319780628
"CUL4B",0.662274014399197,11.9283474198032,14.8750594529324,0.000200827115311096,0.00044363276828842
"CD68",-0.891931250102968,11.4421004544557,14.870018859864,0.000201295925699151,0.00044363276828842
"IGHG4",1.58242224891367,14.1926274017224,14.4135521918925,0.000248766737680708,0.000542981244745392
"RPL26",-0.520481009675773,12.0314086828623,14.2165706042608,0.000272667174207398,0.000584622915760125
"PRMT8",0.661426495114533,12.5738945996908,14.2139879940765,0.000272995722777856,0.000584622915760125
"B2M",-0.695735420168255,11.7413313849845,14.0304130047843,0.000297421896737,0.000630979164105599
"CHORDC1",-0.615425245884324,11.5469387986567,13.9559238030992,0.000307963071194142,0.000647292751491391
"GPX1",-0.734612864814093,11.8235180345563,13.8686968427915,0.000320795807234573,0.000668079341672001
"MTCH1",0.630691721772642,11.6347998087862,13.8436103220287,0.000324587226924351,0.000669830004652978
"CLK1",-0.658610695272452,11.6046977575716,13.6570285330874,0.000354269367726498,0.000724496815080317
"IGHG1",1.35784683839692,13.1606880136736,13.5137471649679,0.000378945925783627,0.00076804218886503
"RPS6",-0.618908956448273,11.8899543938747,13.487401239738,0.000383672092437314,0.000770739513126286
"RAP2B",-0.927611702353808,11.7514506141328,13.4656354972414,0.000387622270808503,0.000771844346259037
"NPC2",0.606659696268413,12.2261470813349,13.3995280387736,0.000399877908124879,0.000789324218646501
"C4orf46",0.814832012856873,11.7479709867431,13.3676812912592,0.00040592332243831,0.000794349949943934
"NDRG1",-0.674689047104618,11.6032787332203,12.8591650510761,0.000516251709072247,0.00100161656375556
"CTSZ",-0.814007185724467,11.9906256234758,12.729823962422,0.000548947333823186,0.00105602580320223
