"Gene","logFC","logCPM","F","PValue","FDR"
"SYP",0.634975947598675,12.0437724280928,14.3227604387487,0.0002578613513683,0.000836207525151486
"FOXD4L5",0.861740580776111,11.9249538441266,14.2519643869386,0.000265778622316299,0.000849742919236619
"C3",0.57526271439401,11.6261749375488,14.0026081177181,0.000296834744427349,0.000935853985902891
"OAZ1",0.50377984559146,12.4303287772474,13.9716444931069,0.000303573271254286,0.000943988117461958
"CHORDC1",-0.576923769366295,11.5469387986567,13.6449357808852,0.000352894127633106,0.00108252658071237
"RPS19",0.581288925981383,12.0835300257146,13.0977777244075,0.000458825578377863,0.00138871208389033
"NPC2",0.574334401450525,12.2261470813349,12.9119718192316,0.000502315386729828,0.0015003367472062
"BASP1",0.720631125890635,11.994635329382,12.7906242196382,0.000519279197764029,0.0015308620505511
"IDS",0.737436051482614,11.6472800563786,12.6563641437433,0.000551396003852829,0.00160470375480246
"BRI3",0.511095367226543,12.0888209734234,11.9913621594731,0.000777135581129086,0.00223303515083927
"STIP1",-0.539632718969661,12.0141586769419,11.8332955156326,0.000839461212384989,0.00238197119014241
"PTGES3",-0.541015766638199,11.6936564778325,11.6946386114153,0.000895992121493977,0.00251099026640905
"DPYSL2",-0.604626491020615,11.6079028586882,11.5501852108263,0.000952977619830239,0.00263812097196908
"CUL4B",0.550125476030892,11.9283474198032,11.4322975342929,0.00101849027225632,0.00278550953978537
"PRMT8",0.554874531280935,12.5738945996908,11.1754438914755,0.00115550404934617,0.00312261213335215
"MFSD6L",0.573678296797099,11.9353455633674,10.9611508470647,0.00127846297891396,0.00341424819074668
"C4orf46",0.669326573301244,11.7479709867431,10.6320089674327,0.0014966148921338,0.0039503672152834
"SPARCL1",0.555591623292202,11.9679231672601,10.2732907107071,0.00177481671113088,0.0045939074345897
"SNAP25",0.752017726764081,11.5229056266288,10.2349112022648,0.00178089803631671,0.0045939074345897
"DNAJB1",-0.383701363617137,12.8499534348377,10.1571687346664,0.00190135112331476,0.00484951353924103
"TSNAX",0.504500903947479,12.2534419312057,10.1079921489089,0.00194940827112429,0.00491684086161348
"GFAP",-0.432118728641061,14.0104701187601,10.046795870639,0.00200448458189053,0.00500019780317748
"EIF1",-0.529075075314341,11.6331721075755,9.96903621401834,0.00207581547139746,0.00508676624604295
"CLK1",-0.535620818355228,11.6046977575716,9.960438887675,0.00208400555454623,0.00508676624604295
"PCSK1N",0.7580171664796,11.6437581584056,9.63962915952377,0.00241535023614284,0.00583281386813218
"RPL34",-0.436577229933523,12.2376202909111,9.26146368368834,0.00296795415080429,0.00709184833929025
"RPS8",-0.387342938583409,12.1301684804988,9.2151037372435,0.00303465593394651,0.00717569684381102
"EIF4A2",0.475740767249946,12.4860575070461,8.9369479053578,0.00349428255613223,0.00817734165197955
"DNAH3",0.523013278802482,11.7142819547077,8.90773107684249,0.00353651683244476,0.00819172776494858
"RPS26",0.457278403490306,11.9504739497851,8.772421775182,0.00379401423477397,0.00869940637670396
"NPIPA1",0.518036248002647,12.0150050467934,8.68576825759028,0.00395777972976988,0.00898415998657764
"HNRNPA1",0.447260203268289,12.1094120128673,8.29812996259315,0.00482670406140613,0.0108481368508831
"TMEM106C",0.484095834757344,11.9493472649478,8.25595460484813,0.00492727953478212,0.0109656122979955
"KIAA0825",0.50807151665919,11.7725057559096,8.02960209681478,0.00552752854173891,0.0121820289220848
"RPLP2",-0.39473974448242,11.9635686498379,7.84135175685622,0.00608821462228449,0.0132886992236402
"RPL21",0.421939389000955,12.5914649640701,7.13657880722416,0.00877830079614755,0.0189778502926237
"SPP1",-0.683214939867485,12.2358857846388,6.95397651622818,0.00956963419290728,0.0204934619036788
"RPL38",-0.417264782331621,11.8948192978523,6.90354782301718,0.00989997918950547,0.0210027595889509
"RTN3",-0.450409159069905,11.6821785324073,6.8621971220934,0.0100988341869548,0.0212262533373958
"RPL19",-0.423952112150802,12.1027740369242,6.82242494419074,0.0103311949583381,0.0215154243627775
"IGHG2",0.830438353578719,13.1402124926344,6.44346421769642,0.0126150910897658,0.0258866211756193
"UCHL1",0.606316133600634,11.5081213401706,6.41727658693782,0.0126582156409416,0.0258866211756193
"PEA15",-0.511881718586837,11.8756000568417,6.40806496152272,0.0128438078984225,0.0260316463655528
"RPS23",-0.374025184155067,11.8903979674753,6.13212046427284,0.0148978239346631,0.0299274870191904
"DELE1",0.444505672224852,12.3220082761658,6.10145549824281,0.0151472813569179,0.03016169182474
"MACROH2A1",0.456366265818776,11.5684398507254,6.07040357546696,0.0153560461661155,0.0303114998235497
"PMFBP1",0.416956148118842,11.6500285744057,5.96157513831651,0.0163021728353867,0.0319016658071791
"GPX1",0.40172940117883,11.8235180345563,5.79301366215319,0.0178355800517831,0.0346040741175621
"MKNK2",0.392436198366219,11.7579677075124,5.72541170050256,0.0185097980723101,0.0356078318848677
"BARX2",0.437896305980376,11.9729264818595,5.61479921852442,0.0196627833924052,0.0375079985720671
"CAMKMT",0.410118217553367,11.7134134681344,5.40649930241341,0.022000488660842,0.0416175910500928
"RPL26",-0.312542255508501,12.0314086828623,5.32969284380879,0.0229426876636715,0.0430412404930036
"CXCR4",0.377902459460553,11.9473841541606,5.16903252991923,0.0250607826646482,0.0466294890563537
"IGHG3",0.726809327693825,13.209755431235,5.14438945827037,0.0253959627295779,0.0468689718667819
"RPL15",0.348327105800614,11.8456408509236,5.06789809685688,0.0264729101947121,0.048462504953223
"APP",-0.377871008743701,11.8069345875351,5.00112001666886,0.0274378133865331,0.0498270691099441
